Region_Code,Year,Dominant_Sector,Green_Jobs_Created,Govt_Investment_Millions_USD,Renewable_Energy_Share_Pct,Air_Quality_Index_Avg,CO2_Emissions_Megatons
REG-011,2026,Waste Management,9660,87.35,65.4,97,16.45
REG-012,2022,Wind Energy,17984,775.51,88.7,21,25.54
REG-012,2023,Solar Energy,18227,331.07,50.9,54,26.01
REG-012,2024,Wind Energy,4858,140.06,10.2,104,12.02
REG-012,2025,Green Building,23664,235.35,69.2,43,22.05
REG-012,2026,Waste Management,19233,532.88,51.4,38,6.1
REG-013,2022,Solar Energy,6199,775.28,59.2,121,16.49
REG-013,2023,Smart Grid Tech,11293,257.75,14.3,51,14.57
REG-013,2024,Waste Management,7264,134.37,91.7,55,2.86
REG-013,2025,Solar Energy,13531,64.13,15.8,116,25.92
REG-013,2026,Green Building,8343,104.71,85.7,150,7.76
REG-014,2022,Waste Management,16956,41.4,17.0,155,19.89
REG-014,2023,Waste Management,22356,423.0,89.5,142,6.53
REG-014,2024,Smart Grid Tech,5689,258.21,32.6,32,4.36
REG-014,2025,Smart Grid Tech,7204,247.0,36.9,79,22.68
REG-014,2026,Wind Energy,4213,17.36,62.8,24,17.11
REG-015,2022,Wind Energy,2975,67.88,28.1,46,8.32
REG-015,2023,EV Manufacturing,4755,705.88,84.7,27,11.4
REG-015,2024,Solar Energy,24281,356.17,56.2,69,9.42
REG-015,2025,Smart Grid Tech,8758,427.86,66.8,63,16.86
REG-015,2026,Smart Grid Tech,2928,91.83,84.6,77,8.3
REG-016,2022,Wind Energy,7926,596.51,23.2,105,8.81
REG-016,2023,Solar Energy,5749,576.91,27.3,21,19.21
REG-016,2024,EV Manufacturing,20758,409.27,31.3,117,27.29
REG-016,2025,Wind Energy,10186,82.92,46.0,49,8.66
REG-016,2026,Wind Energy,21095,273.51,21.1,27,29.4
REG-017,2022,Solar Energy,1161,595.57,56.9,63,13.12
REG-017,2023,Wind Energy,15288,98.38,90.3,96,20.89
REG-017,2024,Solar Energy,16336,441.02,80.9,50,17.68
REG-017,2025,Solar Energy,3874,349.53,13.6,74,11.26
REG-017,2026,Wind Energy,707,720.15,27.9,125,7.86
REG-018,2022,Wind Energy,19377,289.41,57.6,140,26.3
REG-018,2023,Waste Management,3583,602.09,88.7,159,7.48
REG-018,2024,Solar Energy,20603,781.2,78.9,22,26.5
REG-018,2025,Wind Energy,2179,151.69,88.6,49,23.58
REG-018,2026,Green Building,736,643.77,83.4,42,24.42
REG-019,2022,EV Manufacturing,4943,135.77,69.6,134,11.78
REG-019,2023,Wind Energy,15963,688.29,28.9,137,24.59
REG-019,2024,Green Building,22983,286.23,79.7,123,26.2
REG-019,2025,Solar Energy,9055,28.69,26.4,84,10.18
REG-019,2026,Wind Energy,17169,773.84,33.7,103,19.42
REG-020,2022,Green Building,20921,546.82,81.7,51,10.27
REG-020,2023,Wind Energy,22164,101.12,92.5,35,5.77
REG-020,2024,EV Manufacturing,11199,40.22,60.7,57,10.7
REG-020,2025,EV Manufacturing,10215,354.75,93.7,55,3.91
REG-020,2026,Waste Management,21460,160.16,13.8,133,13.36
REG-021,2022,Waste Management,19292,741.2,55.8,104,21.72
REG-021,2023,Smart Grid Tech,3317,592.26,26.7,94,13.22
REG-021,2024,Smart Grid Tech,5799,737.41,63.0,74,20.07
REG-021,2025,Wind Energy,18326,578.61,35.5,105,9.62
REG-021,2026,Green Building,5935,267.68,69.3,120,16.86
REG-022,2022,Solar Energy,4607,342.15,89.9,68,20.48
REG-022,2023,Solar Energy,12829,496.26,35.6,101,16.66
REG-022,2024,Wind Energy,22432,250.06,27.9,54,23.68
REG-022,2025,Waste Management,11921,527.22,49.5,153,13.54
REG-022,2026,Solar Energy,20022,413.83,77.5,99,28.82
REG-023,2022,Smart Grid Tech,8193,144.06,17.2,92,15.71
REG-023,2023,Smart Grid Tech,13186,499.22,17.9,85,28.58
REG-023,2024,Solar Energy,23886,541.51,29.1,149,6.37
REG-023,2025,Wind Energy,19862,46.51,93.6,39,18.53
REG-023,2026,Wind Energy,22981,369.78,85.3,29,17.48
REG-024,2022,Smart Grid Tech,6156,560.12,52.0,44,7.7
REG-024,2023,Smart Grid Tech,21143,553.22,85.9,114,25.88
REG-024,2024,Wind Energy,6401,624.95,28.6,84,24.22
REG-024,2025,Smart Grid Tech,5417,419.19,14.3,144,7.85
REG-024,2026,Wind Energy,16295,370.6,78.1,150,20.19
REG-025,2022,Waste Management,3030,480.41,90.8,153,26.8
REG-025,2023,Waste Management,17932,653.86,85.8,136,13.09
REG-025,2024,Waste Management,19413,362.27,23.5,155,25.91
REG-025,2025,Green Building,3464,214.76,31.0,44,19.31
REG-025,2026,Waste Management,14391,392.83,30.3,31,13.48
REG-026,2022,Smart Grid Tech,8467,235.73,33.1,147,9.93
REG-026,2023,Waste Management,12371,73.66,22.8,111,11.8
REG-026,2024,Solar Energy,12416,568.07,15.5,50,12.52
REG-026,2025,Waste Management,1345,378.08,15.3,39,25.07
REG-026,2026,Green Building,22661,724.82,59.6,79,21.02
REG-027,2022,Waste Management,2994,310.5,10.5,153,10.88
REG-027,2023,Green Building,19603,684.22,91.0,112,12.86
REG-027,2024,Smart Grid Tech,12830,590.36,78.0,149,26.99
REG-027,2025,Green Building,5679,183.34,47.0,50,1.36
REG-027,2026,EV Manufacturing,7654,538.41,77.8,24,21.86
REG-028,2022,Green Building,10645,736.44,93.4,29,16.26
REG-028,2023,Green Building,6988,477.6,66.4,149,2.98
REG-028,2024,Green Building,23409,117.2,49.2,30,1.98
REG-028,2025,Green Building,17573,268.61,48.6,75,10.46
REG-028,2026,Green Building,5578,229.82,90.9,102,12.94
REG-029,2022,Wind Energy,12668,381.54,73.7,118,2.04
REG-029,2023,EV Manufacturing,5948,187.14,15.8,134,28.74
REG-029,2024,Wind Energy,6906,605.84,90.7,99,6.38
REG-029,2025,Wind Energy,23791,500.86,30.3,116,14.47
REG-029,2026,Wind Energy,14583,455.54,28.5,122,21.13
REG-030,2022,EV Manufacturing,22555,142.55,61.6,36,22.56
REG-030,2023,Wind Energy,10840,624.46,23.9,122,9.68
REG-030,2024,Waste Management,1903,30.29,36.5,71,20.48
REG-030,2025,Green Building,3792,323.36,70.8,71,2.74
REG-030,2026,Smart Grid Tech,919,666.15,30.6,143,21.07
REG-031,2022,EV Manufacturing,5017,681.73,61.0,82,4.07
REG-031,2023,Waste Management,10200,628.28,39.5,135,13.14
REG-031,2024,EV Manufacturing,24754,64.48,65.0,81,0.87
REG-031,2025,Green Building,1267,659.64,19.0,26,28.84
REG-031,2026,Smart Grid Tech,2049,714.34,49.1,105,5.01
REG-032,2022,Solar Energy,4216,589.7,92.1,149,8.47
REG-032,2023,Waste Management,24782,621.97,49.5,98,24.86
REG-032,2024,Waste Management,11400,222.03,82.4,157,25.01
REG-032,2025,Wind Energy,24522,230.35,48.3,77,22.64
REG-032,2026,Waste Management,22891,492.16,42.2,152,1.35
REG-033,2022,EV Manufacturing,23240,153.65,28.0,101,24.04
REG-033,2023,EV Manufacturing,14808,230.93,60.7,158,26.46
REG-033,2024,Waste Management,5298,18.02,90.6,71,3.03
REG-033,2025,Smart Grid Tech,22771,331.08,57.2,136,7.59
REG-033,2026,Green Building,24845,520.26,51.7,53,23.89
REG-034,2022,Wind Energy,5219,242.45,44.4,101,7.68
REG-034,2023,Smart Grid Tech,21723,469.43,50.2,61,16.16
REG-034,2024,Green Building,23048,797.34,56.8,61,10.88
REG-034,2025,Green Building,11136,224.02,31.4,132,4.06
REG-034,2026,Solar Energy,21084,259.28,73.1,36,28.55
REG-035,2022,Smart Grid Tech,3691,156.27,28.4,156,14.78
REG-035,2023,Smart Grid Tech,6772,475.77,74.6,149,18.11
REG-035,2024,Wind Energy,17455,667.78,35.2,67,11.15
REG-035,2025,EV Manufacturing,6672,21.18,55.4,116,8.59
REG-035,2026,Wind Energy,24061,447.15,69.3,77,4.23
REG-036,2022,Green Building,19163,91.04,11.0,40,8.89
REG-036,2023,Green Building,24335,357.97,25.7,53,2.02
REG-036,2024,Green Building,17659,100.13,15.6,98,15.01
REG-036,2025,Waste Management,8580,507.26,14.6,106,4.9
REG-036,2026,Waste Management,24224,759.81,17.2,88,7.82
REG-037,2022,Waste Management,7583,613.91,61.5,106,23.83
REG-037,2023,Solar Energy,9723,622.8,42.3,96,27.3
REG-037,2024,EV Manufacturing,20155,689.53,94.2,106,9.51
REG-037,2025,Waste Management,3956,57.58,91.6,128,3.43
REG-037,2026,Solar Energy,24534,504.16,32.5,36,2.9
REG-038,2022,Solar Energy,18552,147.31,16.4,40,0.58
REG-038,2023,Green Building,12589,554.6,49.9,129,1.46
REG-038,2024,EV Manufacturing,16087,568.5,69.8,158,13.89
REG-038,2025,Smart Grid Tech,5031,194.4,32.5,154,23.84
REG-038,2026,Waste Management,9464,532.33,89.4,113,13.04
REG-039,2022,Waste Management,11259,187.6,22.7,83,8.34
REG-039,2023,Solar Energy,14973,66.41,24.1,57,9.57
REG-039,2024,Smart Grid Tech,13779,661.15,88.3,131,13.46
REG-039,2025,Green Building,11983,554.06,69.5,100,28.31
REG-039,2026,Waste Management,18130,436.59,47.2,155,18.14
REG-040,2022,Green Building,20723,590.28,61.3,123,1.26
REG-040,2023,Solar Energy,2876,769.91,81.1,68,17.47
REG-040,2024,Wind Energy,18711,799.66,67.1,145,8.45
REG-040,2025,Wind Energy,7479,612.86,24.9,97,15.81
REG-040,2026,Green Building,10332,733.7,25.4,141,17.77
REG-041,2022,Smart Grid Tech,21169,653.25,92.4,133,14.37
REG-041,2023,Green Building,14589,273.31,67.0,159,25.8
REG-041,2024,EV Manufacturing,6478,335.2,52.1,21,20.05
REG-041,2025,Green Building,1280,652.72,56.8,114,13.92
REG-041,2026,EV Manufacturing,4483,209.4,19.9,51,23.29
REG-042,2022,Waste Management,17405,661.69,10.1,34,26.15
REG-042,2023,Green Building,24453,336.47,25.9,78,11.17
REG-042,2024,Green Building,21825,504.07,74.6,143,6.5
REG-042,2025,Waste Management,16877,113.5,34.5,133,26.48
REG-042,2026,Green Building,12775,105.93,92.7,51,18.46
REG-043,2022,Solar Energy,1185,570.73,36.4,132,0.9
REG-043,2023,Green Building,23915,83.64,94.3,141,27.43
REG-043,2024,Green Building,22225,758.18,65.1,138,5.04
REG-043,2025,Smart Grid Tech,16922,240.57,70.0,31,12.76
REG-043,2026,Green Building,18140,784.39,30.7,37,16.76
REG-044,2022,Green Building,2696,160.58,60.9,145,22.52
REG-044,2023,Solar Energy,14715,692.58,33.5,65,23.81
REG-044,2024,Green Building,24411,278.5,77.0,154,8.38
REG-044,2025,Wind Energy,15071,233.44,35.4,105,17.81
REG-044,2026,Smart Grid Tech,21214,396.82,22.6,108,16.39
REG-045,2022,EV Manufacturing,11273,272.63,74.8,111,11.63
REG-045,2023,EV Manufacturing,16640,696.99,93.4,21,7.54
REG-045,2024,Green Building,13000,194.51,75.9,46,1.79
REG-045,2025,Smart Grid Tech,16421,383.65,87.6,114,11.75
REG-045,2026,Smart Grid Tech,4582,635.99,65.4,107,4.99
REG-046,2022,Wind Energy,11017,109.73,92.1,116,10.29
REG-046,2023,Wind Energy,9206,700.61,47.4,137,16.02
REG-046,2024,Green Building,18950,22.12,22.3,42,26.19
REG-046,2025,Solar Energy,19344,69.11,76.4,49,8.32
REG-046,2026,Waste Management,6426,557.24,65.2,127,25.63
REG-047,2022,Smart Grid Tech,9996,688.88,42.3,147,9.84
REG-047,2023,Smart Grid Tech,3800,711.08,51.5,130,16.46
REG-047,2024,Waste Management,23163,64.05,63.6,125,27.67
REG-047,2025,Solar Energy,24237,599.95,46.9,91,3.4
REG-047,2026,Smart Grid Tech,23156,566.07,18.5,127,5.41
REG-048,2022,EV Manufacturing,17398,723.71,13.9,151,23.99
REG-048,2023,EV Manufacturing,15963,293.19,46.6,83,7.7
REG-048,2024,Green Building,24917,457.08,77.4,29,5.51
REG-048,2025,Wind Energy,1928,491.5,42.5,147,20.65
REG-048,2026,Green Building,6945,731.13,22.2,85,14.1
REG-049,2022,EV Manufacturing,2659,373.06,66.7,32,27.02
REG-049,2023,Green Building,19431,721.96,67.6,105,5.16
REG-049,2024,Green Building,10973,756.74,94.0,109,9.33
REG-049,2025,Green Building,11305,555.35,48.8,31,9.41
REG-049,2026,Green Building,17921,684.14,19.1,140,11.75
REG-050,2022,EV Manufacturing,20373,464.1,94.4,140,9.21
REG-050,2023,Smart Grid Tech,15879,322.69,10.7,94,26.02
REG-050,2024,Smart Grid Tech,4483,779.15,87.4,89,22.48
REG-050,2025,EV Manufacturing,12587,622.84,29.6,120,24.16
REG-050,2026,Solar Energy,17581,512.93,62.8,151,20.49
